,ticker,security,sector,subindustry,registered,founded
0,MMM,3M,Industrials,Industrial Conglomerates,1976-08-09,1902
1,AOS,A. O. Smith,Industrials,Building Products,2017-07-26,1916
2,ABT,Abbott,Health Care,Health Care Equipment,1964-03-31,1888
3,ABBV,AbbVie,Health Care,Pharmaceuticals,2012-12-31,2013 (1888)
4,ABMD,Abiomed,Health Care,Health Care Equipment,2018-05-31,1981
5,ACN,Accenture,Information Technology,IT Consulting & Other Services,2011-07-06,1989
6,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,2015-08-31,2008
7,ADM,ADM,Consumer Staples,Agricultural Products,1981-07-29,1902
8,ADBE,Adobe,Information Technology,Application Software,1997-05-05,1982
9,ADP,ADP,Information Technology,Data Processing & Outsourced Services,1981-03-31,1949
10,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,2015-07-09,1932
11,AES,AES,Utilities,Independent Power Producers & Energy Traders,1998-10-02,1981
12,AFL,Aflac,Financials,Life & Health Insurance,1999-05-28,1955
13,A,Agilent Technologies,Health Care,Health Care Equipment,2000-06-05,1999
14,AIG,AIG,Financials,Property & Casualty Insurance,1980-03-31,1919
15,APD,Air Products,Materials,Industrial Gases,1985-04-30,1940
16,AKAM,Akamai,Information Technology,Internet Services & Infrastructure,2007-07-12,1998
17,ALK,Alaska Air Group,Industrials,Airlines,2016-05-13,1985
18,ALB,Albemarle,Materials,Specialty Chemicals,2016-07-01,1994
19,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2017-03-20,1994
20,ALGN,Align,Health Care,Health Care Supplies,2017-06-19,1997
21,ALLE,Allegion,Industrials,Building Products,2013-12-02,1908
22,LNT,Alliant Energy,Utilities,Electric Utilities,2016-07-01,1917
23,ALL,Allstate,Financials,Property & Casualty Insurance,1995-07-13,1931
24,GOOGL,Alphabet (Class A),Communication Services,Interactive Media & Services,2014-04-03,1998
25,GOOG,Alphabet (Class C),Communication Services,Interactive Media & Services,2006-04-03,1998
26,MO,Altria,Consumer Staples,Tobacco,1957-03-04,1985
27,AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,1994
28,AMCR,Amcor,Materials,Paper Packaging,2019-06-07,2019 (1860)
29,AMD,AMD,Information Technology,Semiconductors,,1969
30,AEE,Ameren,Utilities,Multi-Utilities,1991-09-19,1902
31,AAL,American Airlines Group,Industrials,Airlines,2015-03-23,1934
32,AEP,American Electric Power,Utilities,Electric Utilities,1957-03-04,1906
33,AXP,American Express,Financials,Consumer Finance,1976-06-30,1850
34,AMT,American Tower,Real Estate,Specialized REITs,2007-11-19,1995
35,AWK,American Water,Utilities,Water Utilities,2016-03-04,1886
36,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2005-10-03,1894
37,ABC,AmerisourceBergen,Health Care,Health Care Distributors,2001-08-30,1985
38,AME,Ametek,Industrials,Electrical Components & Equipment,2013-09-23,1930
39,AMGN,Amgen,Health Care,Biotechnology,1992-01-02,1980
40,APH,Amphenol,Information Technology,Electronic Components,2008-09-30,1932
41,ADI,Analog Devices,Information Technology,Semiconductors,1999-10-12,1965
42,ANSS,Ansys,Information Technology,Application Software,2017-06-19,1969
43,ANTM,Anthem,Health Care,Managed Health Care,2002-07-25,2014 (1946)
44,AON,Aon,Financials,Insurance Brokers,1996-04-23,1982 (1919)
45,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1997-07-28,1954
46,AAPL,Apple,Information Technology,"Technology Hardware, Storage & Peripherals",1982-11-30,1977
47,AMAT,Applied Materials,Information Technology,Semiconductor Equipment,1995-03-16,1967
48,APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,2012-12-24,1994
49,ANET,Arista,Information Technology,Communications Equipment,2018-08-28,2004
50,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2016-05-31,1927
51,AIZ,Assurant,Financials,Multi-line Insurance,2007-04-10,1892
52,T,AT&T,Communication Services,Integrated Telecommunication Services,1983-11-30 (1957-03-04),1983 (1885)
53,ATO,Atmos Energy,Utilities,Gas Utilities,2019-02-15,1906
54,ADSK,Autodesk,Information Technology,Application Software,1989-12-01,1982
55,AZO,AutoZone,Consumer Discretionary,Specialty Stores,1997-01-02,1979
56,AVB,AvalonBay Communities,Real Estate,Residential REITs,2007-01-10,1978
57,AVY,Avery Dennison,Materials,Paper Packaging,1987-12-31,1990
58,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2017-07-07,2017
59,BLL,Ball,Materials,Metal & Glass Containers,1984-10-31,1880
60,BAC,Bank of America,Financials,Diversified Banks,1976-06-30,1998 (1923 / 1874)
61,BBWI,Bath & Body Works,Consumer Discretionary,Specialty Stores,1983-09-30,1963
62,BAX,Baxter,Health Care,Health Care Equipment,1972-09-30,1931
63,BDX,Becton Dickinson,Health Care,Health Care Equipment,1972-09-30,1897
64,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2010-02-16,1839
65,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,1999-06-29,1966
66,BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,2020-06-22,1952
67,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2021-08-30,1976
68,BIIB,Biogen,Health Care,Biotechnology,2003-11-13,1978
69,BLK,BlackRock,Financials,Asset Management & Custody Banks,2011-04-04,1988
70,BK,BNY Mellon,Financials,Asset Management & Custody Banks,1995-03-31,1784
71,BA,Boeing,Industrials,Aerospace & Defense,1957-03-04,1916
72,BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,2009-11-06,1996
73,BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,2011-12-19,1880
74,BXP,Boston Properties,Real Estate,Office REITs,2006-04-03,1970
75,BSX,Boston Scientific,Health Care,Health Care Equipment,1995-02-24,1979
76,BMY,Bristol Myers Squibb,Health Care,Health Care Distributors,1957-03-04,1989
77,AVGO,Broadcom,Information Technology,Semiconductors,2014-05-08,1961
78,BR,Broadridge,Information Technology,Data Processing & Outsourced Services,2018-06-18,1962
79,BRO,Brown & Brown,Financials,Insurance Brokers,2021-09-20,1939
80,BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,1982-10-31,1870
81,CHRW,C. H. Robinson,Industrials,Air Freight & Logistics,2007-03-02,1905
82,CDNS,Cadence,Information Technology,Application Software,2017-09-18,1988
83,CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,2021-03-22,1973
84,CPB,Campbell's,Consumer Staples,Packaged Foods & Meats,1957-03-04,1869
85,COF,Capital One,Financials,Consumer Finance,1998-07-01,1994
86,CAH,Cardinal Health,Health Care,Health Care Distributors,1997-05-27,1971
87,KMX,CarMax,Consumer Discretionary,Specialty Stores,2010-06-28,1993
88,CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1998-12-22,1972
89,CARR,Carrier Global,Industrials,Building Products,2020-04-03,2020 (1915)
90,CTLT,Catalent,Health Care,Pharmaceuticals,2020-09-21,2007
91,CAT,Caterpillar,Industrials,Construction Machinery & Heavy Trucks,1957-03-04,1925
92,CBOE,Cboe,Financials,Financial Exchanges & Data,2017-03-01,1973
93,CBRE,CBRE,Real Estate,Real Estate Services,2006-11-10,1906
94,CDW,CDW,Information Technology,Technology Distributors,2019-09-23,1984
95,CE,Celanese,Materials,Specialty Chemicals,2018-12-24,1918
96,CNC,Centene,Health Care,Managed Health Care,2016-03-30,1984
97,CNP,CenterPoint Energy,Utilities,Multi-Utilities,1985-07-31,1882
98,CDAY,Ceridian,Information Technology,Application Software,2021-09-20,1992
99,CERN,Cerner,Health Care,Health Care Technology,2010-04-30,1979
100,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2008-08-27,1946
101,CRL,Charles River,Health Care,Life Sciences Tools & Services,2021-05-14,1947
102,SCHW,Charles Schwab,Financials,Investment Banking & Brokerage,1997-06-02,1971
103,CHTR,Charter Communications,Communication Services,Cable & Satellite,2016-09-08,1993
104,CVX,Chevron,Energy,Integrated Oil & Gas,1957-03-04,1879
